month,holdings
2024-08,NVDA;SMCI;CRWD;CEG;MU;AVGO;KLAC;META;AMAT;COST;QCOM;NFLX;LRCX;PDD;AMZN;ASML;FANG;AMD;REGN;CTAS
2024-09,SMCI;NVDA;CEG;AVGO;KLAC;META;QCOM;MU;COST;CTAS;NFLX;ASML;VRTX;CRWD;ISRG;FANG;AMAT;AMD;AMZN;TMUS
2024-10,NVDA;ARM;AVGO;NFLX;CEG;KLAC;META;CTAS;ISRG;CRWD;MELI;COST;DASH;QCOM;SMCI;ASML;PANW;AMD;TMUS;REGN
2024-11,NVDA;ARM;CEG;AVGO;META;DASH;ISRG;SMCI;NFLX;AMD;KLAC;MELI;COST;CTAS;QCOM;CRWD;MU;TTD;AMAT;MRVL
2024-12,APP;NVDA;ARM;CEG;AVGO;META;TTD;DASH;ISRG;NFLX;COST;BKNG;TMUS;CTAS;FTNT;ILMN;MRVL;PYPL;TXN;VRTX
2025-01,APP;MSTR;PLTR;NVDA;AXON;CEG;DASH;NFLX;ARM;TTD;META;FTNT;ISRG;TMUS;MRVL;CTAS;COST;BKNG;AVGO;PYPL
2025-02,APP;MSTR;PLTR;AXON;NVDA;TSLA;AVGO;CEG;ARM;TTD;MRVL;DASH;NFLX;META;BKR;FTNT;BKNG;AMZN;PYPL;TMUS
2025-03,APP;PLTR;MSTR;AXON;TSLA;CEG;AVGO;NFLX;BKR;MRVL;NVDA;DASH;ISRG;TEAM;GOOGL;PYPL;FTNT;TMUS;META;GILD
2025-04,APP;PLTR;AXON;TMUS;TSLA;NFLX;GILD;FTNT;AVGO;MSTR;TEAM;DASH;COST;ISRG;TTWO;AAPL;MELI;BKNG;NVDA;META
2025-05,PLTR;APP;MSTR;GILD;NFLX;AXON;TMUS;FTNT;WBD;TTWO;CHTR;TSLA;DASH;ORLY;BKR;VRSK;XEL;BKNG;META;CSCO
2025-06,PLTR;APP;MSTR;AXON;NFLX;DASH;FTNT;GILD;SHOP;TSLA;ORLY;AVGO;TEAM;TTWO;TMUS;CRWD;CHTR;BKNG;ADSK;MELI
2025-07,PLTR;APP;MSTR;AXON;DASH;NFLX;TSLA;FTNT;GILD;SHOP;MELI;CEG;AVGO;TTWO;ZS;BKNG;TMUS;ADP;PAYX;CSCO
2025-08,PLTR;APP;AXON;MSTR;DASH;CRWD;NFLX;SHOP;FTNT;ZS;AVGO;CEG;TTWO;BKNG;MELI;META;GILD;CSCO;TSLA;NVDA
2025-09,PLTR;APP;MSTR;AXON;DASH;AVGO;CEG;WBD;NFLX;SHOP;CRWD;NVDA;META;GILD;TSLA;ZS;BKNG;CSCO;FAST;TTWO
2025-10,PLTR;APP;MSTR;AXON;SHOP;AVGO;DASH;NFLX;ZS;TTWO;CRWD;NVDA;FAST;WBD;GILD;ORLY;BKNG;CSCO;META;CDNS
2025-11,PLTR;APP;WBD;AVGO;SHOP;LRCX;TSLA;DASH;AXON;MU;ZS;CRWD;KLAC;TTWO;NFLX;IDXX;INTC;ASML;GOOGL;NVDA
2025-12,PLTR;AVGO;MU;LRCX;WBD;APP;KLAC;AMD;GOOGL;INTC;ZS;CRWD;ASML;SHOP;IDXX;CEG;NVDA;DASH;PDD;TTWO
2026-01,WDC;STX;INSM;MU;WBD;PLTR;LRCX;INTC;ALNY;KLAC;APP;IDXX;AMD;AVGO;GOOGL;CEG;FER;MPWR;AMAT;ASML
2026-02,WDC;MU;STX;WBD;INSM;PLTR;LRCX;INTC;AMD;APP;EA;KLAC;IDXX;AVGO;MNST;NVDA;GOOGL;FER;ASML;ALNY
2026-03,WDC;MU;STX;LRCX;WBD;AMD;AMAT;KLAC;ASML;GOOGL;INTC;INSM;MPWR;PLTR;AVGO;EA;FER;IDXX;NVDA;MNST
2026-04,WDC;STX;MU;LRCX;WBD;AMAT;KLAC;ASML;GOOGL;INTC;MPWR;INSM;AMD;AVGO;ADI;FER;CEG;APP;NVDA;PLTR
2026-05,SNDK;WDC;MU;STX;WBD;LRCX;AMAT;INSM;INTC;KLAC;AMD;ASML;MPWR;GOOGL;BKR;MRVL;ADI;AVGO;NVDA;ROST
2026-06,SNDK;LITE;WDC;STX;MU;INTC;LRCX;AMD;MRVL;WBD;AMAT;MPWR;KLAC;GOOGL;ASML;INSM;ADI;BKR;AVGO;ARM
2026-07,SNDK;LITE;WDC;MU;STX;INTC;NBIS;TER;RKLB;ALAB;AMD;LRCX;MRVL;AMAT;WBD;ARM;GOOGL;KLAC;MPWR;ASML
2026-08,SNDK;MU;WDC;LITE;INTC;STX;NBIS;LRCX;TER;AMAT;MRVL;ALAB;KLAC;AMD;ASML;ARM;RKLB;WBD;PANW;MPWR
